Time,Weekday All,Weekend All,Weekdays PT,Weekends PT
4:00 AM,7791,4076,0,0
4:30 AM,30733,7389,3150,0
5:00 AM,52084,27145,3150,0
5:30 AM,96626,35718,9087,5879
6:00 AM,176570,21188,26830,8859
6:30 AM,190733,53094,41133,1929
7:00 AM,259101,108191,60341,8859
7:30 AM,411060,211951,114661,2070
8:00 AM,589193,223498,156751,2070
8:30 AM,752036,306904,155451,2070
9:00 AM,482284,390757,103560,23797
9:30 AM,264289,350166,46983,27253
10:00 AM,304626,464496,30828,38242
10:30 AM,235703,476781,26909,9262
11:00 AM,302795,587255,45628,20462
11:30 AM,278238,557756,35141,31602
12:00 PM,329089,473355,40652,23912
12:30 PM,255675,713165,35792,40416
1:00 PM,240154,617532,31453,24395
1:30 PM,244947,474112,41336,42494
2:00 PM,265528,522661,49086,50185
2:30 PM,268517,350918,27994,45237
3:00 PM,431582,515975,68276,45346
3:30 PM,704330,473254,121210,22693
4:00 PM,495207,589263,100810,18941
4:30 PM,447303,537246,75812,19787
5:00 PM,599873,472014,102741,25030
5:30 PM,560668,420108,109924,18285
6:00 PM,411747,317146,98295,14670
6:30 PM,324114,390435,72817,9097
7:00 PM,306975,208634,64647,3936
7:30 PM,199838,170068,35298,0
8:00 PM,168234,191983,26727,9326
8:30 PM,112795,186052,29220,11090
9:00 PM,142195,137318,24566,8966
9:30 PM,126061,85133,22915,8356
10:00 PM,97431,117490,17791,4959
10:30 PM,54199,100256,16600,8073
11:00 PM,60210,90721,21485,3528
11:30 PM,28275,51746,7686,3528
12:00 AM,17956,22895,4984,3528
